M2,L4,L3,L2,W
L4,M3,L2,L1,L1
L3,L1,M3,M3,L4
L4,L3,M1,S,M2
L1,H1,M3,L2,M3
S,L1,L3,L3,L2
L3,L4,S,M1,L4
L2,W,L2,L3,L3
L3,L4,L4,M1,M3
M1,M1,L1,W,S
L3,L4,M1,L1,M2
L4,L1,L1,L4,L1
M3,L2,M2,M3,H1
L4,L4,L4,H1,M2
H1,M3,W,W,L1
L2,S,L3,L3,M2
L1,L3,L4,M3,L2
H1,M2,H1,L4,L4
M1,M1,M3,L1,L2
H1,L1,H1,L2,M2
M3,M2,L2,L3,H1
L4,L2,L1,L4,L2
L3,M1,L4,L2,L3
L1,L3,M2,L4,L4
L3,H1,M1,M3,M3
L2,M3,L4,L1,M1
L4,L3,M3,M2,L1
L1,L4,L4,L4,L4
M1,M1,M2,M2,L2
L4,M3,L3,M3,L3
M2,L3,L4,M2,L4
L2,S,L1,L2,H1
L3,M1,L3,H1,L2
M3,L4,M1,L3,H1
L4,H1,L4,S,L4
H1,L1,L2,L4,L1
M1,L2,S,L3,M3
L1,L3,L4,M3,M2
L3,L2,M1,H1,M1
L2,L3,M2,L2,M2
M3,M3,L1,M3,L3
L1,L4,W,M2,S
L3,M2,H1,L4,L2
M1,L1,L3,M3,M1
L2,L3,L4,L4,L3
M3,L2,L3,L3,M1
S,W,L2,L4,L3
L2,L2,M2,L3,L1
M2,L4,L1,L4,L2
L2,M2,H1,L3,L1
M3,L2,L2,M1,M1
L2,L4,W,L2,L2
L4,L2,L3,L1,L1
L1,W,L2,H1,M3
L3,M3,L1,L2,L3
M2,H1,M3,L1,M3
L2,S,L4,L3,W
L1,L3,M1,L1,L3
M3,L4,H1,M3,H1
M2,L1,L1,L3,L4
L4,L2,M3,M1,L3
L2,H1,L1,L4,L4
L4,L1,L3,M2,L2
L2,L3,H1,L2,L4
L3,M3,L2,L3,L3
M3,M1,M3,L2,L1
L1,L3,L3,M2,M2
H1,L2,L4,L1,L4
M1,M2,L2,L2,L2
S,M3,L3,M1,L3
L4,L3,M3,H1,M3
H1,L1,M1,M2,M1
L1,L4,L2,L1,L4
L4,L2,L4,L3,S
M2,M2,M2,L4,L3
L4,M1,L3,W,M3
L3,L3,M2,S,H1
L1,M3,S,L4,M3
M2,H1,L2,L2,L3
M3,L2,L4,H1,W
M2,L1,L2,M2,L2
L3,L4,M3,M1,L4
L2,M2,L3,L1,L1
L4,L4,L1,M1,M1
M1,M2,M2,L1,L4
L3,L1,L1,L4,L1
