L1,L3,L1,L3,M2
L4,M3,L2,W,H1
M1,L1,M1,M3,L1
L1,W,L2,M1,W
M1,L4,M3,L4,H1
L1,M3,L4,M2,L3
L2,M2,L1,L3,L4
L4,M3,L2,L1,L3
L2,M2,L4,L4,L4
L3,W,L2,M1,L1
L4,L4,L3,L2,M3
M1,L2,M2,M2,L3
L2,M3,H1,L4,M1
H1,L1,M3,L1,L3
L4,M2,L4,L4,M3
M2,M3,M3,L3,M2
S,L4,L4,M2,W
L3,L3,L3,L3,L3
M2,M1,L4,H1,L2
L4,L4,H1,L1,M3
L3,H1,L2,M1,L4
L2,M2,M1,L2,M1
H1,M3,L4,M3,M2
L1,M1,M3,L2,L2
M3,L3,L1,L4,L4
L3,H1,H1,L2,W
M3,L4,M3,W,L1
L3,M2,L1,M3,L2
M3,M1,L2,L2,W
L2,L1,M1,L3,L3
L1,M1,W,M3,M1
L3,M2,L4,M2,L3
M1,W,L2,L1,L2
M3,L4,L4,L2,M2
L4,L1,L3,L1,H1
L2,L3,M2,L2,M3
H1,M2,M3,H1,L3
L2,L2,H1,M3,M1
M2,S,L4,L3,L2
M3,L3,GL,M2,L4
L2,L2,L3,GL,L1
M2,L3,M1,L1,M3
L3,L4,L2,M3,M1
M1,H1,L4,L2,L1
L3,L1,W,L4,H1
L4,L2,M2,M1,L4
L1,L1,L3,L3,M3
M2,L2,M2,M2,L2
M3,L1,L1,L1,L4
L3,L2,W,H1,L1
L1,M3,M1,M2,M3
L4,L2,M3,L4,L3
L4,L4,M1,L3,M3
H1,L2,L4,H1,L2
M1,L3,L3,L3,S
M3,GL,M2,S,L4
M2,L4,M3,L4,L3
L4,M3,H1,M3,M3
L4,M1,L3,H1,L1
L4,L3,M2,M3,L2
L1,H1,L1,L1,H1
L2,L3,L3,W,M2
M1,L2,M2,L3,L4
L1,M1,H1,L4,M2
M2,L2,W,L1,L4
L1,H1,S,L3,M1
L2,L3,L3,W,L2
L4,L4,M2,M3,M2
M3,M2,L2,L4,L4
L2,L1,L1,L2,L1
L3,L4,L2,L4,L2
L2,L2,L1,M1,L4
H1,M1,L2,M2,L3
L4,L1,M1,L2,L2
L3,H1,L1,M1,H1
M2,L1,L3,L4,M2
M3,M3,L1,L1,L1
L3,L3,L4,H1,M1
H1,W,L3,M1,L1
L1,L4,M3,L2,L4
