GL,M3,L3,W,GL
L4,L4,L1,M2,M2
GL,GL,L3,GL,GL
L3,H1,GL,L2,M1
GL,L3,GL,GL,W
L1,W,M1,L4,GL
GL,L2,L1,L3,L1
M2,W,GL,GL,GL
L2,L3,M2,H1,L4
H1,GL,L2,M3,GL
L3,GL,GL,GL,M3
GL,M3,M1,M1,W
M1,GL,GL,GL,GL
GL,L1,M3,L2,M3
GL,GL,L4,M3,GL
GL,H1,L1,M1,GL
M3,GL,M2,M3,L2
GL,GL,GL,GL,M1
L4,L4,GL,H1,M2
L2,GL,GL,M1,L1
GL,GL,M1,GL,H1
L3,GL,GL,M2,L3
L2,M1,M3,GL,M2
H1,GL,S,L1,M3
L3,L1,GL,GL,GL
L2,S,M2,GL,H1
GL,M1,L4,W,L1
L4,L4,W,L1,M1
L1,L1,GL,GL,GL
GL,M1,L2,M2,L3
M2,GL,GL,GL,L4
M3,M2,L2,L2,W
M1,GL,H1,L3,GL
GL,H1,L3,GL,GL
H1,L4,GL,H1,M3
GL,L3,W,GL,GL
M1,GL,GL,L4,H1
GL,W,L4,GL,GL
L3,GL,GL,L1,GL
M1,L2,L2,M2,M2
GL,GL,L1,L2,L3
GL,L1,GL,GL,GL
M3,GL,W,W,GL
L4,GL,GL,GL,L3
S,M2,M3,L4,GL
L1,GL,M2,GL,H1
M2,L2,GL,L1,GL
GL,GL,L3,GL,L4
L1,H1,W,GL,S
GL,GL,GL,W,GL
M3,L2,M1,GL,M1
M2,M3,GL,L3,L4
L4,GL,H1,M1,GL
GL,W,GL,H1,L2
GL,M1,W,S,W
GL,M2,L4,GL,GL
H1,M3,W,W,W
L3,GL,M3,M3,GL
GL,W,GL,GL,L2
L1,GL,GL,W,GL
L2,L3,H1,L3,L2
L4,W,GL,L4,W
GL,M2,H1,GL,L1
