M2,L3,L1,M3,L2
L2,GL,M3,L1,L4
L1,M1,L3,L3,M3
M2,M3,L2,H1,H1
L1,L4,M3,L3,L3
H1,M2,L1,L4,H1
L2,M1,H1,M2,L3
M3,W,M1,L3,L1
L3,L1,L4,M3,S
L2,H1,M2,M1,L4
L1,M3,M3,M2,W
M2,L1,L2,GL,L1
L4,L2,L4,L1,H1
M2,M3,W,L4,GL
L2,M1,M1,M1,M3
L4,L1,L3,L1,L2
L2,L3,M3,L3,L4
L3,M2,L3,L1,L2
M1,L2,L1,S,L1
L3,H1,H1,W,M2
L1,L3,L1,L4,M3
L1,L4,M3,M2,L1
M1,L3,L4,L1,L3
M3,M1,H1,L4,H1
L1,L1,L4,H1,W
M3,L2,L3,L4,M1
L4,L3,L4,L1,M2
M2,M3,M3,L3,L2
L3,S,L3,M2,L1
M3,W,L1,M3,L4
L2,L4,L3,L3,L3
H1,M2,W,M2,L4
M1,H1,L1,L2,M2
M3,L4,L3,M1,L3
H1,L2,L1,M2,L4
M2,L4,H1,H1,M2
L4,L3,M1,L1,L3
L3,L4,M2,L2,L2
M1,L2,L2,M2,W
L2,L3,L3,L3,L4
L3,L4,M2,M3,L2
L4,M1,L4,L2,W
L4,L2,M3,M1,L2
M2,W,L3,L4,L1
L1,M1,W,H1,M2
S,M2,L4,L2,L4
L3,L4,H1,L1,H1
H1,M2,M1,L4,L4
L4,L1,L1,M1,M1
L3,L2,M3,L4,M3
L4,W,M2,L2,L2
L4,M3,M3,M3,M3
H1,L4,M1,M3,L1
L1,H1,L1,W,L4
L4,M2,L2,M2,L3
H1,M1,M2,L3,M1
L3,L4,L4,M3,L3
L4,M3,L1,L1,L2
M1,L1,M1,L2,M1
L2,M3,M2,H1,M2
M3,L3,L2,L2,M1
M2,M2,L3,H1,M2
L2,M3,L4,W,L3
L1,L2,L2,M3,L1
L2,M3,GL,L4,M3
L3,L4,L2,L2,L4
L4,H1,L4,L4,M1
M3,M2,S,M1,M3
M1,L1,W,W,L2
L1,L3,H1,M3,M3
M3,L1,L2,L2,L1
L4,L3,L4,L3,L3
L2,L2,L2,L2,M1
L4,L1,L4,L1,L4
L3,L2,M1,M1,M2
M1,L4,L2,L3,L3
M3,L3,M2,L4,L1
L3,L1,L2,L3,M3
L1,L2,L3,L4,H1
L2,H1,M2,L2,L2
